timestamp,cpu_percent,cpu_count
2026-04-15T10:03:33.015691,0.1,8
2026-04-15T10:03:34.036856,7.9,8
2026-04-15T10:03:35.047949,13.8,8
2026-04-15T10:03:36.054576,15.2,8
2026-04-15T10:03:37.060358,13.4,8
2026-04-15T10:03:38.089826,15.9,8
2026-04-15T10:03:39.100103,13.5,8
2026-04-15T10:03:40.107766,37.4,8
2026-04-15T10:03:41.120070,19.9,8
2026-04-15T10:03:42.129476,14.2,8
2026-04-15T10:03:43.412346,15.1,8
2026-04-15T10:03:44.424527,1.1,8
2026-04-15T10:03:45.438343,0.3,8
2026-04-15T10:03:46.465991,0.2,8
2026-04-15T10:03:47.473602,0.1,8
2026-04-15T10:03:48.483989,0.1,8
2026-04-15T10:03:49.492538,0.8,8
2026-04-15T10:03:50.506269,0.1,8
2026-04-15T10:03:51.514636,0.3,8
2026-04-15T10:03:52.521706,0.5,8
2026-04-15T10:03:53.536116,0.0,8
2026-04-15T10:03:54.543243,0.5,8
2026-04-15T10:03:55.560349,0.4,8
2026-04-15T10:03:56.570247,0.1,8
2026-04-15T10:03:57.580661,0.0,8
2026-04-15T10:04:02.238435,0.3,8
2026-04-15T10:04:03.246580,0.1,8
2026-04-15T10:04:04.271105,0.3,8
2026-04-15T10:04:05.279042,0.4,8
2026-04-15T10:04:06.289077,0.2,8
2026-04-15T10:04:07.310025,0.3,8
2026-04-15T10:04:08.317045,0.9,8
2026-04-15T10:04:09.339049,0.4,8
2026-04-15T10:04:10.348310,0.2,8
2026-04-15T10:04:11.357310,0.3,8
2026-04-15T10:04:12.364600,0.1,8
2026-04-15T10:04:13.381410,0.1,8
2026-04-15T10:04:14.434055,0.2,8
2026-04-15T10:04:15.453666,0.3,8
2026-04-15T10:04:16.469042,0.1,8
2026-04-15T10:04:18.393386,0.9,8
2026-04-15T10:04:19.400067,0.2,8
2026-04-15T10:04:20.417428,0.3,8
2026-04-15T10:04:21.434302,0.1,8
2026-04-15T10:04:22.450702,0.3,8
2026-04-15T10:04:23.472669,0.1,8
2026-04-15T10:04:24.483183,0.3,8
2026-04-15T10:04:25.492540,0.3,8
2026-04-15T10:04:26.501976,0.2,8
2026-04-15T10:04:27.512146,0.0,8
2026-04-15T10:04:28.520102,0.3,8
2026-04-15T10:04:29.533395,0.4,8
2026-04-15T10:04:30.550004,0.2,8
2026-04-15T10:04:31.555314,0.1,8
2026-04-15T10:04:32.567546,0.1,8
